lat,lon,name,type
16.55,75.16,Hipparagi Barrage,Inflow
11.08,77.89,KODUMUDI,Level
18.97,78.34,Sriram Sagar Reservoir,Inflow
18.22,77.96,Nizamsagar Reservoir,Inflow
19.71,76.75,Yeldari Reservoir,Inflow
24.10638889,87.30722222,Massanjore Dam,Inflow
24.21,83.02,RIHAND DAM,Inflow
22.28,76.47,Indira Sagar Reservoir,Inflow
18.78861111,82.60083333,Upper Kolab Dam ,Inflow
19.27611111,82.82833333,Upper Indravati Dam,Inflow
22.59,82.57,BANGODAM RESERVOIR,Inflow
25.92,75.45,Bisalpur Reservoir,Inflow
29.37277778,78.03833333,Dharamnagari Barrage,Inflow
16.56361111,74.5275,Sadalga (Seasonal),Level
18.72194444,84.04361111,SEEDHI,Level
19.09833333,84.67861111,ITCHAPURAM,Level
21.51305556,76.75722222,DEDTALAI,Level
21.82472222,73.74166667,Sardar Sarovar Project_Gujarat Reservoir,Inflow
22.9475,73.42944444,Wanakbori Weir,Level
27.25,88.45,Teesta -V Dam,Inflow
27.29,88.29,Rangit- 3 Dam,Inflow
22.94,79.92,Bargi Reservoir,Inflow
20.19,73.06,MADHUBAN DAM,Inflow
24.93,87.38,SUNDAR DAM,Inflow
23.68,86.75,Panchat Reservoir,Inflow
18.51888889,73.15638889,Nagothane,Level
28.18944444,78.39611111,NARORA Barrage,Inflow
10.88861111,78.58,UPPER ANICUT,Inflow
16.38222222,77.35722222,Deosugur,Level
17.2925,81.64361111,Polavaram Irrigation Project,Inflow
21.65833333,79.23333333,Pench Reservoir,Inflow
30.22888889,78.78666667,Srinagar,Level
18.66638889,74.00172222,Phulgaon,Level
19.1,78.79,Kaddam Dam,Inflow
23.52305556,85.6725,BHAIRWA DAM,Inflow
27.43,83.9,GANDAK BARRAGE,Inflow
18.14027778,82.12277778,Balimela dam (Sileru),Inflow
27.24,88.71,Rangpo Dam,Inflow
27.2,88.71,Rongli Dam,Inflow
19.35,74.6,Mula Dam,Inflow
18.68805556,83.96388889,Gotta Barrage,Inflow
23.94638889,87.525,Tilpara  Mihirlal Barrage,Inflow
24.15,86.25,Sikatia Barrage,Inflow
22.965,86.79027778,Kangsabati Reservoir,Inflow
21.66,87.06,Mathani Road Bridge,Level
21.52,83.85,Hirakud Reservoir,Inflow
18.09222222,73.46027778,Mahad,Level
20.00916667,74.13194444,NMD-Weir,Inflow
17.97138889,75.13916667,Narsingpur,Level
22.37722222,79.66361111,Sanjay Sarovar Project,Inflow
21.27527778,78.05861111,Upper Wardha Project,Inflow
19.72555556,77.43472222,Isapur Reservoir,Inflow
24.32,85.52,Tilaiya Reservoir,Inflow
23.78,86.81,Maithon Reservoir,Inflow
22.24,76.16,Omkareshwar (NHPC) Reservoir,Inflow
